scenario_id,name,category,target_type,target_id,fault_type,start_s,end_s,ramp_s,severity,parameter_value,affected_nodes,affected_links,expected_affected_services,oracle_notes
sc-01-edge-gw-01-down,Edge Gateway 01 Failure,single_node,node,edge-gw-01,node_down,60,120,5,1.0,1.0,['edge-gw-01'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Edge WAN boundary device down; impacts external ingress routing paths.
sc-02-core-sw-01-loss,Core Switch 01 High Packet Loss,single_node,node,core-sw-01,packet_loss,60,120,5,1.0,8.5,['core-sw-01'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Backbone transit node packet loss impairs inter-tier transit paths.
sc-03-core-sw-02-lat,Core Switch 02 Latency Spike,single_node,node,core-sw-02,latency_spike,60,120,5,1.0,85.0,['core-sw-02'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Backbone buffer queue saturation causing elevated forwarding latency.
sc-04-dist-campus-01-cpu,Campus Dist Switch 01 CPU Saturation,single_node,node,dist-sw-campus-01,cpu_saturation,60,120,5,1.0,98.0,['dist-sw-campus-01'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Control plane protocol storm saturating switch CPU.
sc-05-dist-campus-02-throttle,Campus Dist Switch 02 Bandwidth Throttling,single_node,node,dist-sw-campus-02,bandwidth_throttling,60,120,5,1.0,500.0,['dist-sw-campus-02'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",QoS policing misconfiguration causing aggressive bandwidth rate-limiting.
sc-06-dist-dc-01-down,Datacenter Dist Switch 01 Hardware Crash,single_node,node,dist-sw-dc-01,node_down,60,120,5,1.0,1.0,['dist-sw-dc-01'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",DC fabric distribution switch loss rerouting flows through redundant spine.
sc-07-dist-dc-02-loss,Datacenter Dist Switch 02 Optical Degradation,single_node,node,dist-sw-dc-02,packet_loss,60,120,5,1.0,8.5,['dist-sw-dc-02'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Intermittent CRC errors causing packet drops on DC distribution layer.
sc-08-acc-hq-01-mem,HQ Access Switch 01 Memory Leak,single_node,node,acc-sw-hq-01,memory_saturation,60,120,5,1.0,99.0,['acc-sw-hq-01'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",CAM table overflow and buffer allocation leak on campus access switch.
sc-09-acc-dc-01-lat,DC Access Switch 01 Microburst Latency,single_node,node,acc-sw-dc-01,latency_spike,60,120,5,1.0,85.0,['acc-sw-dc-01'],[],"['srv-api', 'srv-erp', 'srv-monitoring']",Storage replication microburst queuing in DC top-of-rack access switch.
sc-10-host-erp-down,ERP Application Host Outage,single_node,node,host-erp,node_down,60,120,5,1.0,1.0,['host-erp'],[],['srv-erp'],ERP host hypervisor kernel panic directly impacting srv-erp.
sc-11-host-api-cpu,API Gateway Host CPU Spike,single_node,node,host-api,cpu_saturation,60,120,5,1.0,98.0,['host-api'],[],"['srv-api', 'srv-erp']",Unbounded API query storm; impacts srv-api and downstream srv-erp.
sc-12-host-db-mem,Production Database OOM Condition,single_node,node,host-db,memory_saturation,60,120,5,1.0,99.0,['host-db'],[],"['srv-api', 'srv-db', 'srv-erp']","Uncached database joins exhausting host RAM; impacts db, api, and erp."
sc-13-host-dns-down,Enterprise Core DNS Outage,single_node,node,host-dns,node_down,60,120,5,1.0,1.0,['host-dns'],[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp']",Core nameserver crash; transitively degrades all 6 catalog services.
sc-14-multi-campus-dist-acc,Cascading Campus Dist + Access Incident,multi_fault,node,"['dist-sw-campus-01', 'acc-sw-hq-01']",cpu_saturation,60,120,5,1.0,1.0,"['dist-sw-campus-01', 'acc-sw-hq-01']",[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Coupled upstream distribution overload and campus access switch degradation.
sc-15-multi-campus-dc,Concurrent DC DNS Crash + Campus Access Loss,multi_fault,node,"['host-dns', 'acc-sw-hq-02']",node_down,60,120,5,1.0,1.0,"['host-dns', 'acc-sw-hq-02']",[],"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",Independent concurrent faults across datacenter service and campus access.
